"time,sec","ppg heart rate, bpm",wi1,wi2,wi3,wi4,"candidate heart rate, bpm",
10.16,83.313,-0.35685,0.7203,0.12247,0.30634,74.432,
10.16,83.313,-0.85857,2.8191,-0.78461,-1.1739,74.249,
10.16,83.313,8.4456,-7.65,-0.56504,-0.19252,78.278,
10.16,83.313,-1.6541,-3.0774,14.431,-10.023,83.771,
11.16,82.947,3.6758,-3.1326,0.78545,-0.66462,74.524,
11.16,82.947,3.414,-5.0496,4.6099,-3.4048,82.489,
11.16,82.947,6.7581,-4.7025,-4.3278,2.0877,81.573,
11.16,82.947,-1.5717,2.6043,1.2265,-2.3547,76.263,
12.16,83.221,1.9667,-1.1746,-0.68653,0.67304,75.256,
12.16,83.221,8.1094,-6.943,-1.7254,0.36907,92.285,
12.16,83.221,-0.98042,2.8592,-1.1723,-0.69755,75.348,
12.16,83.221,0.77264,-3.2917,10.604,-8.1882,82.581,
13.16,83.679,0.21397,-0.60741,-0.0045269,-0.39386,76.63,
13.16,83.679,-1.4731,-0.46,0.66354,1.2639,76.904,
13.16,83.679,-13.009,12.172,0.85528,-0.082183,51.453,93.933
13.16,83.679,1.3844,1.8849,-12.15,9.0603,82.947,
14.16,83.954,-2.6045,1.6865,0.5679,-0.40509,76.172,
14.16,83.954,-6.9061,5.8646,1.2212,0.10528,50.995,
14.16,83.954,0.58563,-1.9406,-0.74571,2.1288,78.003,
14.16,83.954,0.048943,2.0182,-5.929,3.9254,83.954,
15.16,83.771,1.9597,-0.9767,-1.0979,0.88258,76.721,
15.16,83.771,3.1274,-1.1988,-5.073,2.9415,84.686,
15.16,83.771,-0.065719,1.327,1.326,-2.6155,77.637,
15.16,83.771,9.7398,-10.767,5.4627,-4.7319,81.665,
16.16,83.405,-0.25517,0.30943,0.95279,-0.22255,76.813,
16.16,83.405,1.0644,0.29036,0.26585,-1.6518,77.271,
16.16,83.405,6.5686,-4.0208,-4.719,2.2916,82.947,
16.16,83.405,-4.167,6.9106,-8.3879,6.143,82.306,
17.16,82.672,-0.0029112,0.029349,1.2032,-0.47038,78.369,
17.16,82.672,-0.19816,2.497,-0.39592,-1.826,73.792,
17.16,82.672,5.1238,-3.0966,-2.8862,0.86974,81.39,
17.16,82.672,2.8926,-4.3972,7.4956,-6.6198,83.038,
18.16,81.665,-0.58444,0.53504,1.5836,-0.75872,78.918,
18.16,81.665,1.2601,0.49305,-0.68971,-1.0709,72.052,
18.16,81.665,4.9184,-3.8433,-0.3279,-0.81037,52.277,
18.16,81.665,2.2342,0.73806,-11.395,8.9452,82.123,
19.16,80.841,-0.94209,0.66464,1.0347,0.054965,99.792,
19.16,80.841,4.5374,-3.3949,2.3945,-3.5803,52.002,
19.16,80.841,7.5639,-1.9821,-11.782,6.4488,80.475,
19.16,80.841,-3.1464,4.8393,1.5773,-3.1225,51.91,
20.16,80.292,-0.80617,1.0941,-0.50404,1.0586,99.426,
20.16,80.292,-3.4509,3.0015,-2.2258,2.6392,50.171,
20.16,80.292,-0.72736,-0.72128,0.045943,1.4089,132.48,
20.16,80.292,7.7081,-3.1673,-10.361,5.812,79.559,
21.16,80.017,0.41566,-0.030141,0.29217,0.12237,65.918,
21.16,80.017,-0.19579,-1.0839,-0.042044,1.2758,133.21,
21.16,80.017,-3.6669,3.0326,-1.7717,2.668,48.981,
21.16,80.017,6.967,-2.2798,-9.6654,5.0324,79.651,
22.16,80.566,0.02306,0.14551,0.82661,-0.21017,65.735,
22.16,80.566,0.6893,0.89751,-0.32877,-1.2514,63.08,
22.16,80.566,4.184,-3.1969,0.43095,-1.5728,48.523,
22.16,80.566,3.7021,0.13315,-10.192,6.7248,79.742,
23.16,80.841,1.8955,-1.1924,0.29581,-0.32521,65.186,
23.16,80.841,1.1547,0.54844,-1.0437,-0.58482,134.4,
23.16,80.841,-2.9999,3.7524,-5.465,5.5829,80.017,
23.16,80.841,9.3013,-4.9482,-8.0196,3.2077,57.22,
24.16,80.933,2.6938,-1.8464,-0.059457,-0.18505,64.362,
24.16,80.933,0.37967,1.0222,-0.60577,-0.61903,63.354,
24.16,80.933,-2.4792,3.3218,-5.4942,5.5387,80.841,
24.16,80.933,9.3631,-5.1206,-8.1356,3.3316,57.22,
25.16,80.658,1.66,-1.2059,0.83409,-0.61211,64.178,
25.16,80.658,0.2495,0.92212,0.10366,-1.2434,65.46,
25.16,80.658,0.05337,2.3164,-7.6969,6.0399,80.841,
25.16,80.658,11.07,-7.7508,-3.7748,-0.17716,60.516,
26.16,79.926,1.2744,-0.3164,-0.52135,0.35148,64.728,
26.16,79.926,2.2612,0.3521,-0.49396,-2.3787,64.636,
26.16,79.926,6.6642,-4.4703,-3.6297,1.2481,60.516,
26.16,79.926,1.4635,-2.511,4.1443,-3.2714,80.933,
27.16,79.376,1.9898,-1.4971,0.47118,-0.28035,64.728,
27.16,79.376,-0.17947,1.2178,0.24692,-1.1931,131.1,
27.16,79.376,-2.1741,4.4163,-7.4049,6.0012,79.926,
27.16,79.376,11.615,-7.1127,-6.6739,1.7759,61.615,
28.16,79.651,2.9075,-1.7931,-0.84219,0.51032,131.38,
28.16,79.651,6.2142,-2.7485,-7.8777,4.3582,78.369,
28.16,79.651,-8.0049,9.0247,-6.6345,6.2337,65.094,
28.16,79.651,2.1342,1.9524,-3.0197,-0.99859,130.74,
29.16,80.566,1.9202,-0.77088,-1.0712,0.72472,129.73,
29.16,80.566,1.0021,0.46338,-0.12861,-1.3869,130.1,
29.16,80.566,10.563,-5.7661,-9.4223,4.3444,76.447,
29.16,80.566,2.1832,-3.0573,3.4992,-2.8267,82.489,
30.16,82.031,2.5332,-1.5926,-0.19447,-0.029214,93.018,
30.16,82.031,0.18159,1.0874,-0.085668,-1.1756,130,
30.16,82.031,9.8547,-6.3626,-5.3289,1.2291,57.037,
30.16,82.031,-2.321,4.9516,-9.1438,7.1747,83.313,
31.16,88.257,1.756,-0.94675,-0.12544,0.067391,92.743,
31.16,88.257,-9.1659,6.7579,0.56258,2.551,55.756,
31.16,88.257,1.1318,3.0655,-6.0903,2.1919,60.608,
31.16,88.257,4.4448,-1.0412,-10.323,7.1197,98.145,
32.16,91.644,1.5332,-0.85129,0.017737,0.065255,126.16,
32.16,91.644,2.3887,1.3661,-3.3884,-0.25659,128.17,
32.16,91.644,10.281,-6.6699,-5.7198,1.6816,54.291,
32.16,91.644,-1.7613,4.1113,-9.1212,7.3687,94.757,
33.16,93.018,2.2165,-1.3231,-0.12788,-0.047846,125.43,
33.16,93.018,3.6322,-3.7572,2.5212,-2.8761,92.743,
33.16,93.018,3.5347,0.67566,-4.5757,0.35177,127.53,
33.16,93.018,6.7574,-3.2777,-9.4289,5.8583,98.053,
34.16,93.658,-0.88111,-0.064151,0.90797,-0.79997,125.7,
34.16,93.658,-0.56341,-2.1745,2.2037,0.56725,127.26,
34.16,93.658,0.19913,2.5596,-10.396,7.9149,96.039,
34.16,93.658,-11.616,8.0672,3.212,0.86411,52.826,
35.16,93.475,1.514,-0.83579,0.30482,-0.23875,62.439,
35.16,93.475,1.0798,0.43331,-0.15297,-1.4281,127.26,
35.16,93.475,2.3759,-3.5331,4.3646,-3.6541,94.391,
35.16,93.475,10.306,-5.3489,-8.1244,2.9298,51.178,
36.16,93.018,0.60403,0.25899,-0.76119,0.73264,62.256,
36.16,93.018,0.11061,1.4996,-0.82163,-0.77217,131.01,
36.16,93.018,1.325,-5.333,12.828,-9.2363,94.482,
36.16,93.018,12.811,-7.582,-5.348,-0.23437,52.917,
37.16,92.377,-1.3143,1.8139,-1.048,1.4581,47.699,
37.16,92.377,0.40063,1.3016,-1.1375,-0.63956,44.495,
37.16,92.377,6.2385,-5.1779,3.3186,-4.592,79.651,91.553
37.16,92.377,11.82,-3.2754,-15.718,7.3116,94.391,
38.16,92.102,-0.69035,1.1059,-0.13217,0.58961,115.63,
38.16,92.102,4.2186,-3.5857,2.0891,-2.8961,80.658,
38.16,92.102,2.9575,0.55334,-1.6314,-2.1165,120.67,
38.16,92.102,4.7092,-0.95214,-6.898,3.2561,93.201,
39.16,92.102,-0.91205,1.3808,-0.4806,0.9213,116.82,
39.16,92.102,1.0222,0.65918,-1.0977,-0.71753,117.46,
39.16,92.102,-2.7555,2.9819,-4.2197,4.196,89.996,
39.16,92.102,8.4994,-4.1941,-5.8733,1.5778,67.017,
40.16,92.468,-0.33291,1.1566,-0.88715,0.92279,116,
40.16,92.468,0.16747,1.4913,-1.2274,-0.55281,116.18,
40.16,92.468,1.6544,3.2255,-14.629,10.043,89.722,
40.16,92.468,11.941,-5.6752,-5.1464,-1.3247,95.306,
41.16,93.109,-0.34621,1.2438,-1.2026,1.1736,113.43,
41.16,93.109,-0.20367,1.7108,-1.1181,-0.48399,114.35,
41.16,93.109,2.0349,2.845,-13.497,8.7988,103.82,
41.16,93.109,11.6,-6.0174,-4.0306,-1.7201,62.988,
42.16,94.116,-0.39086,0.99837,-1.0385,1.3082,97.137,112.24
42.16,94.116,0.05464,3.2091,-3.187,0.038388,112.88,
42.16,94.116,1.0064,2.9944,-13.166,9.4012,103,
42.16,94.116,11.216,-6.0098,-3.9063,-1.477,62.164,
43.16,94.94,-0.21859,1.0593,-0.99339,1.0103,96.405,
43.16,94.94,-0.19271,1.5234,-0.48952,-0.92742,111.88,
43.16,94.94,3.3969,2.6804,-14.89,9.0455,98.877,
43.16,94.94,10.917,-6.3934,-1.5721,-3.2102,61.89,
44.16,95.215,0.55017,0.49154,-1.7099,1.5143,94.94,
44.16,95.215,-2.1733,3.8732,-0.0065962,-1.435,111.6,
44.16,95.215,2.7191,3.2559,-15.533,9.7254,96.954,
44.16,95.215,11.985,-6.4916,-2.9878,-2.8705,63.171,
45.16,95.215,0.40484,0.58614,-1.2568,1.1069,92.926,
45.16,95.215,1.0787,0.82708,-0.058364,-1.8912,142,
45.16,95.215,4.9397,2.097,-16.856,9.873,54.108,
45.16,95.215,6.867,-4.856,0.37633,-2.5563,66.65,
46.16,94.757,0.29306,0.53633,-0.85081,0.86288,87.158,
46.16,94.757,-0.45379,1.172,0.60571,-1.3845,116.55,
46.16,94.757,3.962,-2.5346,0.9186,-2.5188,70.129,
46.16,94.757,5.0451,-0.18672,-10.303,5.3479,53.192,
47.16,94.208,-0.71137,1.2751,-1.0966,1.3931,118.1,
47.16,94.208,6.9329,-5.4636,1.2112,-2.7237,66.833,
47.16,94.208,5.2835,-0.66678,0.55406,-5.2817,118.93,
47.16,94.208,-5.4947,-1.5437,16.677,-9.648,95.215,
48.16,93.658,-1.2887,0.88172,1.4417,-0.23872,83.588,
48.16,93.658,6.1965,-3.0194,-4.8779,1.8665,53.284,
48.16,93.658,2.0816,1.8105,-1.2518,-2.6341,118.93,
48.16,93.658,-10.192,11.184,-10.848,10.364,94.849,
49.16,92.926,0.41531,0.34503,-0.58706,0.62984,81.94,
49.16,92.926,-3.9071,7.2224,-4.1772,0.95021,119.2,
49.16,92.926,-1.8573,-2.2331,14.48,-10.516,93.384,
49.16,92.926,16.786,-9.617,-4.3903,-3.0835,51.819,68.481
50.16,92.468,-1.5435,1.5979,-0.3029,1.119,80.2,
50.16,92.468,7.5208,-4.4947,-1.4503,-1.6095,68.024,
50.16,92.468,0.61015,1.0398,-0.30947,-1.378,119.38,
50.16,92.468,-2.6931,-3.9909,17.601,-11.326,91.919,
51.16,91.919,0.16314,0.58571,-0.1621,0.21502,79.742,
51.16,91.919,1.7584,1.1472,0.9401,-4.1086,119.29,
51.16,91.919,-5.8239,8.5176,-11.431,9.0903,70.953,
51.16,91.919,15.03,-6.7402,-11.666,3.2562,54.016,
52.16,91.644,-0.44699,-0.26614,0.24838,-0.34218,78.278,
52.16,91.644,0.11375,-1.5664,-0.31961,1.8087,120.76,
52.16,91.644,-13.739,7.5326,5.6408,0.83642,67.291,
52.16,91.644,-2.1273,6.2035,-14.006,10.271,70.221,
53.16,91.553,0.72109,0.02491,-0.23048,0.28716,76.721,
53.16,91.553,0.78116,1.4272,-2.0584,-0.12222,124.6,
53.16,91.553,5.6353,-4.5037,2.3123,-3.798,67.932,
53.16,91.553,9.9352,-2.2453,-15.474,7.8831,91.827,
54.16,91.919,-0.69703,1.1395,-0.28976,0.67343,75.256,
54.16,91.919,0.94568,0.97649,-0.10496,-1.9088,74.066,
54.16,91.919,-5.6335,7.8508,-13.387,11.428,70.587,
54.16,91.919,12.393,-5.7591,-9.7002,3.0874,42.755,
55.16,92.834,-0.45985,0.81005,-0.28417,0.78039,74.707,
55.16,92.834,0.6089,1.0181,-0.25215,-1.3711,72.784,
55.16,92.834,-8.604,8.816,-8.3423,8.6006,55.206,94.94
55.16,92.834,4.9136,-1.5606,-5.1925,1.8607,50.629,
56.16,94.574,1.4791,-0.39623,-0.87337,0.5678,45.685,
56.16,94.574,1.5082,0.80452,-0.37715,-1.9301,72.693,
56.16,94.574,4.1219,1.2806,-12.011,6.5053,50.629,
56.16,94.574,17.331,-13.469,3.3047,-7.7314,116.82,
57.16,96.68,0.097876,-0.26889,1.4227,-0.50643,73.608,
57.16,96.68,-0.16878,1.9175,-0.96294,-0.69618,72.235,
57.16,96.68,4.5915,-1.7408,-3.5649,0.81649,48.523,
57.16,96.68,-5.3636,5.5953,-5.3942,5.596,93.201,
58.16,98.328,0.43467,0.50613,-1.2168,1.0888,73.334,
58.16,98.328,1.0573,0.41535,0.55832,-2.0629,73.792,
58.16,98.328,3.6818,0.7416,-9.6087,5.0476,49.53,
58.16,98.328,-9.3727,7.5134,-2.953,5.1724,48.615,
59.16,99.152,-1.5812,1.8377,-0.89263,2.1315,73.608,
59.16,99.152,0.65969,1.2223,-0.67634,-1.1163,74.341,
59.16,99.152,-6.8108,7.8051,-9.4831,8.6946,113.53,
59.16,99.152,5.5904,-1.1763,-7.8781,3.6191,50.262,
60.16,99.06,0.78239,-0.16411,-0.095969,0.25762,74.432,
60.16,99.06,0.32956,1.3636,-0.62101,-1.0107,75.348,
60.16,99.06,8.8881,-4.1258,-5.0894,0.040239,51.178,
60.16,99.06,-4.4218,6.7053,-10.787,9.033,47.791,
61.16,98.145,-2.3996,3.0673,-2.1534,3.0242,73.334,
61.16,98.145,3.911,-7.2545,10.752,-7.539,48.615,
61.16,98.145,2.4578,0.050061,2.1037,-4.6201,74.799,
61.16,98.145,8.4796,-3.7679,-5.2872,0.61877,52.826,
62.16,96.954,1.084,-0.31868,-0.077993,0.079493,75.073,
62.16,96.954,0.86662,0.93902,-0.27474,-1.5508,75.165,
62.16,96.954,9.3087,-5.275,-3.3083,-1.1015,55.939,
62.16,96.954,1.9328,-6.3015,12.363,-8.4736,49.53,
63.16,95.49,1.7025,-0.18678,-0.77337,0.011214,75.439,
63.16,95.49,0.090186,1.4141,0.31191,-1.894,75.531,
63.16,95.49,9.4472,-3.8229,-5.2306,-0.8588,57.861,
63.16,95.49,-4.2217,8.129,-13.244,9.726,66.193,
64.16,94.574,-1.8682,0.64867,0.12172,0.3698,75.806,
64.16,94.574,-4.4794,0.70297,0.22892,3.9913,90.363,
64.16,94.574,-7.6073,7.4074,-2.535,3.3327,60.883,
64.16,94.574,2.5762,4.378,-14.654,8.0635,95.764,
65.16,94.208,2.3523,-1.1174,-0.34264,-0.16681,76.08,
65.16,94.208,0.84009,1.0126,0.17335,-1.9987,90.546,
65.16,94.208,7.1572,-1.3333,-8.4883,2.31,95.673,
65.16,94.208,-7.1497,8.1234,-7.8813,7.5962,63.446,
66.16,94.482,2.0515,-0.96765,-0.69584,0.34194,76.263,
66.16,94.482,0.46247,1.6255,-1.0851,-0.89852,75.623,
66.16,94.482,8.872,-6.2882,-0.80665,-2.4497,63.08,
66.16,94.482,-0.23474,-5.1353,14.222,-9.1227,93.75,
67.16,95.123,-0.68469,0.1698,-0.34544,0.079087,74.982,
67.16,95.123,-0.25872,-1.1424,-0.62184,2.0573,74.524,
67.16,95.123,-8.6805,6.2229,-0.11148,2.8641,62.256,
67.16,95.123,1.6559,3.6517,-12.755,7.789,94.025,
68.16,96.13,-1.1169,0.67653,-0.81718,0.51476,74.066,
68.16,96.13,-0.18152,-1.9002,1.2466,0.7659,73.975,
68.16,96.13,-1.1205,3.2921,-7.1814,5.3238,94.025,
68.16,96.13,-7.8017,3.5508,3.8604,0.66994,50.812,
69.16,97.321,-1.3228,1.0479,-1.0201,0.57835,73.608,
69.16,97.321,-0.78791,-0.87681,-0.048299,1.6229,74.158,
69.16,97.321,-8.2765,6.11,-1.599,4.4432,55.115,
69.16,97.321,1.5233,3.9164,-13.776,8.8691,94.757,
70.16,98.602,-1.4565,1.0387,-1.3896,1.1158,73.608,
70.16,98.602,-3.8343,1.9262,2.7323,-0.63962,52.734,
70.16,98.602,-2.1874,6.3675,-12.846,9.4526,75.806,
70.16,98.602,-1.1135,-0.91366,-2.2769,4.5296,74.341,
71.16,99.243,-2.1788,2.7304,-1.2835,2.2732,75.439,
71.16,99.243,3.6453,-1.6168,-2.3428,0.51001,53.009,
71.16,99.243,-0.89544,-1.5693,-0.34991,2.8992,75.165,
71.16,99.243,-3.3898,6.5412,-11.783,8.9096,88.623,
72.16,99.152,-1.7076,1.9472,0.64416,0.57685,75.989,
72.16,99.152,3.5532,-1.4156,-2.5879,0.67793,52.917,
72.16,99.152,0.88089,1.3362,0.82884,-3.2745,75.348,
72.16,99.152,-3.3655,6.7134,-12.061,9.2314,88.989,
73.16,98.236,1.8478,-1.9412,-0.51384,-0.87093,76.355,
73.16,98.236,-4.1066,2.1434,0.92655,0.89817,57.495,
73.16,98.236,0.62979,-2.6139,-0.055763,2.0992,75.531,
73.16,98.236,-0.055216,4.3009,-11.561,7.7905,65.186,
74.16,96.405,-0.89215,0.35368,-0.12897,-0.10768,76.904,
74.16,96.405,-1.3749,-0.079443,-0.53864,2.0331,76.263,
74.16,96.405,-3.6136,2.5058,1.1772,0.13836,74.158,
74.16,96.405,-0.8727,4.2362,-10.785,7.9124,65.552,
75.16,94.025,-1.854,0.87121,0.26122,0.0004128,77.271,
75.16,94.025,-7.2442,3.8054,2.3012,1.7538,60.883,
75.16,94.025,0.95759,-1.5912,-3.7098,4.2587,75.165,
75.16,94.025,-0.79165,4.8097,-10.642,7.1861,63.171,
76.16,92.285,-1.2587,0.81211,-0.60895,0.32305,77.545,
76.16,92.285,-0.42857,-0.97556,0.014776,1.3474,76.08,
76.16,92.285,-7.5723,4.6049,2.6213,0.80152,73.975,
76.16,92.285,-0.34959,4.4514,-11.21,7.8112,59.692,91.187
77.16,91.461,1.69,-1.3809,0.7183,-0.40786,81.024,101.17
77.16,91.461,0.75144,0.90789,-0.86568,-0.62567,74.615,
77.16,91.461,7.5353,-4.5186,-3.6492,-0.10072,72.693,
77.16,91.461,2.9111,2.0514,-10.951,6.8511,92.01,
78.16,91.003,0.90097,-0.19147,-0.27443,0.35743,100.52,
78.16,91.003,-0.24597,1.5881,-0.70588,-0.61082,73.334,
78.16,91.003,-2.7061,2.5668,-2.4581,2.8113,62.714,
78.16,91.003,8.3625,-4.0701,-7.8169,3.3705,89.996,
79.16,91.095,0.83722,-0.45619,0.52462,-0.12546,99.884,
79.16,91.095,-1.0461,-1.0912,1.3481,0.70331,53.467,
79.16,91.095,-5.122,3.6676,-0.89199,2.6388,62.714,
79.16,91.095,-6.3473,0.83386,13.703,-8.4094,90.637,
80.16,91.095,-0.1679,0.64572,0.17097,0.16614,99.152,
80.16,91.095,1.1526,0.85578,-1.6737,-0.40381,52.46,
80.16,91.095,-3.1194,3.4211,-2.4115,2.2825,89.996,
80.16,91.095,8.7637,-3.5128,-10.004,5.0737,89.905,
81.16,90.82,0.13287,0.48284,-0.3287,0.54154,65.186,
81.16,90.82,1.1048,0.78234,-1.0382,-0.89558,51.544,
81.16,90.82,-2.2802,2.6861,-3.0053,2.6831,89.264,
81.16,90.82,8.8638,-4.8164,-7.0612,2.9644,60.059,
82.16,90.546,-0.075808,0.60708,-0.27256,0.5652,65.186,
82.16,90.546,0.37722,1.3988,-1.193,-0.60025,84.045,
82.16,90.546,3.3708,-3.1209,2.3663,-2.6982,87.616,
